Latitude	Longitude	Address
48.19185	16.33932	23 Wallgasse, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.25139	16.2991	95 Neustift am Walde, 19. Bezirk-Döbling, Wien, Wien, 9, AT, 1190
48.20416	16.37256	16 Annagasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19274	16.35738	41 Schönbrunner Straße, 5. Bezirk-Margareten, Wien, Wien, 9, AT, 1050
48.2082	16.36835	5 Habsburgergasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19359	16.36142	53 Margaretenstraße, 5. Bezirk-Margareten, Wien, Wien, 9, AT, 1050
48.18314	16.3777	Rieplstraße, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
48.20781	16.37228	3 Singerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.2022	16.37514	10-12 Schubertring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.17901	16.36258	190 Gudrunstraße, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
48.1997	16.37762	6-8 Lisztstraße, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.21438	16.28447	32 Johann-Staud-Straße, 16. Bezirk-Ottakring, Wien, Wien, 9, AT, 1160
48.21514	16.3763	3 Hollandstraße, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.21569	16.36502	39 Wipplingerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20506	16.36897	10 Führichgasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.22163	16.35651	8 Boltzmanngasse, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.19967	16.33944	13 Kenyongasse, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.21223	16.3679	14 Tiefer Graben, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19416	16.29724	163 Linzer Straße, 14. Bezirk-Penzing, Wien, Wien, 9, AT, 1140
48.23894	16.42927	51 Wagramer Straße, 22. Bezirk-Donaustadt, Wien, Wien, 9, AT, 1220
48.21154	16.37399	2 Desider-Friedmann-Platz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.18989	16.35686	92 Margaretenstraße, 5. Bezirk-Margareten, Wien, Wien, 9, AT, 1050
48.19919	16.35225	57-59 Mariahilfer Straße, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.21422	16.37999	10 Taborstraße, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.19125	16.40785	83 Baumgasse, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.17751	16.32433	32 Ratschkygasse, 12. Bezirk-Meidling, Wien, Wien, 9, AT, 1120
48.21038	16.37167	5 Wildpretmarkt, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.18458	16.32092	38-40 Schönbrunner Schlossstraße, 12. Bezirk-Meidling, Wien, Wien, 9, AT, 1120
48.20488	16.34312	74 Schottenfeldgasse, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.20445	16.37065	32 Kärntner Straße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19641	16.39608	122 Landstraßer Hauptstraße, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.20644	16.38274	1 Am Stadtpark, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.20276	16.3673	9 Opernring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.2048	16.37694	29 Weihburggasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20852	16.35448	1 Josefsgasse, 8. Bezirk-Josefstadt, Wien, Wien, 9, AT, 1080
48.1642	16.32172	26-28 Hoffingergasse, 12. Bezirk-Meidling, Wien, Wien, 9, AT, 1120
48.19656	16.38594	Linke Bahngasse, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.20586	16.37813	6 Liebenberggasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19775	16.36712	7 Rilkeplatz, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.20414	16.37264	7 Annagasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21861	16.38798	4 Kleine Stadtgutgasse, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.21615	16.35972	15 Rooseveltplatz, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.20198	16.37198	9 Kärntner Ring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.2026	16.3759	5 Schubertring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20681	16.35571	9 Museumstraße, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.21038	16.37365	3 Lichtensteg, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20829	16.37522	10 Schulerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19741	16.36856	10 Frankenberggasse, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.22644	16.36026	5 Althanstraße, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.21092	16.38197	10 Wiesingerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20817	16.37569	14 Schulerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20374	16.33578	21 Wurzbachgasse, 15. Bezirk-Rudolfsheim-Fünfhaus, Wien, Wien, 9, AT, 1150
48.21142	16.3777	15 Franz-Josefs-Kai, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19532	16.36716	27-29 Wiedner Hauptstraße, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.19995	16.36425	6 Papagenogasse, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.2564	16.40322	25 Freytaggasse, 21. Bezirk-Floridsdorf, Wien, Wien, 9, AT, 1210
48.21392	16.42137	269 Handelskai, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.19451	16.34612	26 Webgasse, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.20847	16.35402	4-6 Josefsgasse, 8. Bezirk-Josefstadt, Wien, Wien, 9, AT, 1080
48.23521	16.422	21 Wagramer Straße, 22. Bezirk-Donaustadt, Wien, Wien, 9, AT, 1220
48.25075	16.30492	24 Rathstraße, 19. Bezirk-Döbling, Wien, Wien, 9, AT, 1190
48.20601	16.37641	3d Seilerstätte, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
