	Address	Id	Latitude	Longitude	Name
0	84 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	1717990000000.0	48.2105243	16.3683592	Park Hyatt Vienna
1	2 Plaça de Valdívia, Les Corts, Barcelona, Barcelona, CT, ES, 08014	1743760000000.0	48.1950444	16.3844751	Austria Trend Hotel Savoyen Vienna
2	93 Avinguda de Roma, La Nova Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08029	1760940000000.0	48.1915401	16.3546263	Austria Trend Hotel Ananas Wien
3	64 Carrer d'Enric Granados, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	1778120000000.0	48.1868107	16.3440157	Falkensteiner Hotel Wien Margareten
4	390 Carrer del Rosselló, Sagrada Familia, Barcelona, Barcelona, CT, ES, 08025	1812480000000.0	48.1979979	16.3483314	NH Collection Wien Zentrum
5	498 Carrer del Consell de Cent, Fort Pienc, Barcelona, Barcelona, CT, ES, 08013	1889790000000.0	48.2027296	16.3661211	Le Meridien Vienna
6	28 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010	1898380000000.0	48.1825159	16.3322428	FourSide Hotel Vienna City Center
7	18 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010	1967100000000.0	48.1629737	16.3404024	Austria Trend Hotel Bosei Wien
8	2 Carrer del Civader, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003	2018630000000.0	48.1979514	16.336318	Arthotel ANA Westbahn
9	17 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010	2173250000000.0	48.2110845	16.3838405	Aparthotel Adagio Vienna City
10	117 Carrer de Balmes, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	2233380000000.0	48.2102677	16.3741269	Hotel Lam e
11	Plaça d'Espanya, Montjuïc, Barcelona, Barcelona, CT, ES, 08015	2241970000000.0	48.184732	16.3211959	Courtyard by Marriott Vienna Schoenbrunn
12	54 Carrer d'Aribau, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08011	2276330000000.0	48.2062268	16.3833767	Hilton Vienna
13	4 Carrer dels Capellans, El Gòtic, Barcelona, Barcelona, CT, ES, 08002	2284920000000.0	48.2050967	16.3770928	Vienna Marriott Hotel
14	117 Carrer la Rambla, El Raval, Barcelona, Barcelona, CT, ES, 08002	2310690000000.0	48.251195	16.2989165	Hotel Schild
15	58 Carrer d'Enric Granados, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	2336460000000.0	48.1935593	16.3616098	Holiday Inn Vienna City
16	7 Avinguda de la Catedral, El Gòtic, Barcelona, Barcelona, CT, ES, 08002	2525440000000.0	48.212857	16.37986	Sofitel Vienna Stephansdom
17	509 Carrer de Muntaner, Sant Gervasi-la Bonanova, Barcelona, Barcelona, CT, ES, 08022	2551210000000.0	48.2057193	16.3710878	Hotel Ambassador
18	102 Avenue Victor Hugo, 16e Arrondissement, Paris, Paris, IDF, FR, 75116	2637110000000.0	48.2185837	16.3881339	Der Wilhelmshof
