	Address	Id	Latitude	Longitude	Name
97	3 Rue Pergolèse, 16e Arrondissement, Paris, Paris, IDF, FR, 75116	2319280000000.0	51.531979	-0.061598	The RE London Shoreditch
98	5 Rue des Capucines, 1er Arrondissement, Paris, Paris, IDF, FR, 75001	2327870000000.0	51.5084036	-0.1067988	Mondrian London
99	4 Rue de Valois, 1er Arrondissement, Paris, Paris, IDF, FR, 75001	2336460000000.0	51.5095259	-0.1967234	The Laslett
100	1 Rue de Bourgogne, 7e Arrondissement, Paris, Paris, IDF, FR, 75007	2353640000000.0	51.5044972	-0.0855562	Shangri La Hotel at The Shard London
101	8 Rue d'Anjou, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	2362230000000.0	51.506935	-0.126012	The Grand at Trafalgar Square
102	9 Rue Littré, 6e Arrondissement, Paris, Paris, IDF, FR, 75006	2379410000000.0	51.5231564	-0.1035134	The Zetter Townhouse Clerkenwell
103	14-16 Craven Hill, Bayswater, London, London, ENG, GB, W2 3	2388000000000.0	51.5039399	-0.2244232	Dorsett Shepherds Bush
104	21 Stanley Gardens, Notting Hill, London, London, ENG, GB, W11 2	2396590000000.0	51.4918878	-0.1949706	K K Hotel George
105	21 Gower Street, Bloomsbury, London, London, ENG, GB, WC1E 6	2405180000000.0	51.5092876	-0.1370062	Sheraton Grand London Park Lane
106	228 Mile End Road, Tower Hamlets, London, London, ENG, GB, E1 4LJ	2413770000000.0	51.5059334	-0.1489418	Park Lane Mews Hotel
107	202 Uxbridge Road, Shepherds Bush, London, London, ENG, GB, W12 7JP	2448130000000.0	51.5015721	-0.1628511	Bulgari Hotel London
108	1 Kensington Court, Kensington, London, London, ENG, GB, W8 5DL	2482490000000.0	51.5195857	-0.1584803	Hotel 82 London
109	13 Charlotte Street, Fitzrovia, London, London, ENG, GB, W1T 2	2534030000000.0	51.5054185	-0.1241499	The Royal Horseguards
110	37 Lancaster Gate, Bayswater, London, London, ENG, GB, W2 3	2551210000000.0	51.4919588	-0.2200956	Novotel London West
111	28 Bedford Place, Bloomsbury, London, London, ENG, GB, WC1B 5	2585570000000.0	51.5206309	-0.0915341	London City Suites
112	4 Bryanston Street, Marylebone, London, London, ENG, GB, W1H 7BY	2594160000000.0	51.499046	-0.1917073	Copthorne Tara Hotel London Kensington
113	49 Fordham Street, Tower Hamlets, London, London, ENG, GB, E1 1	2688650000000.0	51.5172825	-0.0812451	Andaz London Liverpool Street
114	Sandstone Lane, Canning Town, London, London, ENG, GB, E16 3	2697240000000.0	51.513055	-0.152257	The Beaumont Hotel
115	15 Lavington Street, Southwark, London, London, ENG, GB, SE1 0	2705830000000.0	51.5634756	-0.2042758	Best Western Palm Hotel
116	Ossulston Street, Camden, London, London, ENG, GB, NW1 2	2740190000000.0	51.4945522	-0.1861213	Ashburn Hotel
117	Marylebone, London, London, ENG, GB, W1H 7	2783140000000.0	51.4980052	-0.1643238	Knightsbridge Hotel
118	100 Cromwell Road, South Kensington, London, London, ENG, GB, SW7 4ER	2817500000000.0	51.510843	-0.1314287	W London Leicester Square
119	22-29 Finsbury Square, City of London, London, London, ENG, GB, EC2A 1	2826090000000.0	51.5189077	-0.1421957	Grange Langham Court Hotel
120	81 Great Eastern Street, Shoreditch, London, London, ENG, GB, EC2A 3HU	2826090000000.0	51.480672	-0.0071375	De Vere Devonport House
121	163 Marsh Wall, Isle of Dogs, London, London, ENG, GB, E14 9SJ	2851860000000.0	51.5208575	-0.0779503	Batty Langley s
122	Fitzroy Court, Fitzrovia, London, London, ENG, GB, W1T 5	2851860000000.0	51.5133832	-0.1926617	New Linden Hotel
123	34 Bedford Place, Bloomsbury, London, London, ENG, GB, WC1B 5JR	2869040000000.0	51.522672	-0.1036841	The Zetter Hotel
124	37 Nottingham Place, Marylebone, London, London, ENG, GB, W1U 5LT	2877630000000.0	51.4919083	-0.1684398	My Chelsea
125	84 Dalston Lane, Hackney, London, London, ENG, GB, E8 3AH	2963530000000.0	51.5207945	-0.1310845	Bloomsbury Palace Hotel
126	13 South Place, City of London, London, London, ENG, GB, EC2M 7	2980710000000.0	51.51046	-0.1875844	Hilton London Hyde Park
127	The Street, Stratford, London, London, ENG, GB, E20 1EN	3023660000000.0	51.5210117	-0.2628618	Holiday Inn London West
128	20 Chesham Place, Belgravia, London, London, ENG, GB, SW1X 8HQ	3040840000000.0	51.5322508	-0.1095714	DoubleTree by Hilton London Islington
