	Address	Id	Latitude	Longitude	Name
0	3 Via Laietana, El Gòtic, Barcelona, Barcelona, CT, ES, 08003	1735170000000.0	45.51152	9.1241306	Barcel Milan
1	72 Carrer de Numància, Les Corts, Barcelona, Barcelona, CT, ES, 08029	1769530000000.0	45.461177	9.191047	Brunelleschi Hotel
2	131 Via Augusta, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08006	1795300000000.0	45.4794587	9.1951427	Windsor Hotel Milano
3	119 Carrer de Pallars, El Parc i la Llacuna del Poblenou, Barcelona, Barcelona, CT, ES, 08018	1821070000000.0	45.4726942	9.1943911	Hotel Cavour
4	128 Carrer la Rambla, El Gòtic, Barcelona, Barcelona, CT, ES, 08002	1846840000000.0	45.4667717	9.1871001	Hotel Clerici
5	158 Carrer de Girona, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08037	1975680000000.0	45.453152	9.179172	The Yard Milano
6	32 Carrer de Numància, Sants, Barcelona, Barcelona, CT, ES, 08029	2147480000000.0	45.43784	9.230901	Starhotels Business Palace
7	148I Travessera de les Corts, La Maternitat i Sant Ramon, Barcelona, Barcelona, CT, ES, 08028	2199020000000.0	45.4947129	9.1418864	Best Western Hotel Mirage
8	207 Avinguda Diagonal, El Parc i la Llacuna del Poblenou, Barcelona, Barcelona, CT, ES, 08018	2241970000000.0	45.4630685	9.1979367	NH Collection Milano President
9	9 Carrer de Riudarenes, El Gòtic, Barcelona, Barcelona, CT, ES, 08002	2259150000000.0	45.4858877	9.2042827	Hotel Auriga
10	106 Carrer de Villarroel, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08011	2310690000000.0	45.4868744	9.2018407	Hotel Marconi
11	181 Carrer de Mallorca, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08036	2319280000000.0	45.4656023	9.1778675	Mokinba Hotels King
12	70 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	2319280000000.0	45.4720654	9.0777871	Idea Hotel Milano San Siro
13	288 Carrer de Mallorca, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08037	2396590000000.0	45.4701334	9.1897405	Bulgari Hotel Milano
14	10 Avinguda del Litoral, La Barceloneta, Barcelona, Barcelona, CT, ES, 08003	2405180000000.0	45.4699058	9.1925024	Grand Hotel et de Milan
15	60 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08009	2413770000000.0	45.4848809	9.1596461	Qualys Hotel Nasco
16	7 Rambla de Catalunya, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007	2542620000000.0	45.4792738	9.1459546	Meli Milano
17	74 Rue Amelot, 11e Arrondissement, Paris, Paris, IDF, FR, 75011	2817500000000.0	45.480515	9.160063	Admiral Hotel
18	12 Rue Vercingétorix, 14e Arrondissement, Paris, Paris, IDF, FR, 75014	2843270000000.0	45.4782808	9.1997755	Mokinba Hotels Baviera
19	11 Rue de Tilsitt, 17e Arrondissement, Paris, Paris, IDF, FR, 75017	2877630000000.0	45.4481878	9.2570459	Novotel Milano Linate Aeroporto
20	15 Rue Édouard Manet, 13e Arrondissement, Paris, Paris, IDF, FR, 75013	2954940000000.0	45.500667	9.1445874	Radisson Blu Hotel Milan
21	4 Rue d'Anjou, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	3066610000000.0	45.443791	9.152947	IH Hotels Milano Watt 13
22	7 Rue Rampon, 11e Arrondissement, Paris, Paris, IDF, FR, 75011	3135330000000.0	45.4714062	9.1965303	Senato Hotel Milano
23	207 Boulevard Raspail, 14e Arrondissement, Paris, Paris, IDF, FR, 75014	3152510000000.0	45.4472099	9.2090967	Best Western Hotel Major
24	Galerie du Claridge, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	3195460000000.0	45.4657842	9.1895321	TownHouse Galleria
25	Rue Intérieure, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	3332890000000.0	45.4911829	9.2393614	Nu Hotel
