	Address	Id	Latitude	Longitude	Name
0	36 Carrer de Vilamarí, Sant Antoni, Barcelona, Barcelona, CT, ES, 08015	1752350000000.0	52.3607413	4.8695315	Pillows Anna van den Vondel Amsterdam
1	557 Gran Via de les Corts Catalanes, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08011	1915560000000.0	52.3648077	4.8853962	Hotel Seven One Seven
2	277 Carrer de Provença, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08037	1941330000000.0	52.3617751	4.9118187	Hyatt Regency Amsterdam
3	212 Carrer de Muntaner, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08036	2010040000000.0	52.385601	4.8470597	Golden Tulip Amsterdam West
4	4 Carrer de Lope de Vega, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08005	2027220000000.0	52.3744149	4.9041443	Grand Hotel Amr th Amsterdam
5	66 Carrer de Déu i Mata, Les Corts, Barcelona, Barcelona, CT, ES, 08029	2130300000000.0	52.3758754	4.8859642	The Toren
6	28 Carrer de Pelai, El Raval, Barcelona, Barcelona, CT, ES, 08001	2156070000000.0	52.3511447	4.8740764	Bilderberg Garden Hotel
7	Jardins de Miramar, El Poblesec, Barcelona, Barcelona, CT, ES, 08038	2310690000000.0	52.3595919	4.8801587	Hotel JL No76
8	Carrer de Joaquim Molins, Les Corts, Barcelona, Barcelona, CT, ES, 08028	2345050000000.0	52.3727067	4.8943658	NH Collection Amsterdam Grand Hotel Krasnapolsky
9	46 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007	2362230000000.0	52.3600068	4.9051643	InterContinental Amstel Amsterdam
10	6 Carrer d'Espronceda, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08005	2379410000000.0	52.3588806	4.9886041	Amadi Panorama Hotel
11	17 Passatge de la Concepció, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008	2534030000000.0	52.370835	4.895403	Sofitel Legend The Grand Amsterdam
12	666 Gran Via de les Corts Catalanes, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010	2585570000000.0	52.3419432	4.8759604	citizenM Amsterdam
13	65 Rue de Richelieu, 2e Arrondissement, Paris, Paris, IDF, FR, 75002	2894810000000.0	52.350396	4.8756404	Apollofirst Boutique Hotel
14	2 Avenue des Portugais, 16e Arrondissement, Paris, Paris, IDF, FR, 75116	3023660000000.0	52.373704	4.893591	Hotel Amsterdam De Roode Leeuw
15	6 Boulevard Beaumarchais, 11e Arrondissement, Paris, Paris, IDF, FR, 75011	3040840000000.0	52.3760456	4.8943917	Inntel Hotels Amsterdam Centre
16	17 Rue de l'Arcade, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	3100970000000.0	52.3754926	4.8929878	INK Hotel Amsterdam MGallery by Sofitel
17	7 Rue Magellan, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	3350070000000.0	52.3605759	4.9159683	Hotel Arena
18	92A Rue La Boétie, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	1795300000000.0	52.3663466	4.8985764	Hampshire Hotel Rembrandt Square Amsterdam
19	14 Boulevard Vincent Auriol, 13e Arrondissement, Paris, Paris, IDF, FR, 75013	1881200000000.0	52.377278	4.897818	Park Plaza Victoria Amsterdam
20	10 Rue Louise-Émilie de La Tour d'Auvergne, 9e Arrondissement, Paris, Paris, IDF, FR, 75009	1924150000000.0	52.3678779	4.8948936	De L Europe Amsterdam
21	87 Rue des Archives, 3e Arrondissement, Paris, Paris, IDF, FR, 75003	2018630000000.0	52.3583821	4.8988777	Boutique Hotel Notting Hill
22	6 Avenue Montaigne, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	2121710000000.0	52.3681919	4.8957609	NH Collection Amsterdam Doelen
23	5B Rue Massenet, 16e Arrondissement, Paris, Paris, IDF, FR, 75116	2224790000000.0	52.3702469	4.8966743	Radisson Blu Hotel Amsterdam
24	19 Rue Cujas, 5e Arrondissement, Paris, Paris, IDF, FR, 75005	2310690000000.0	52.3764175	4.9002201	NH Collection Amsterdam Barbizon Palace
25	Carlos Place, Mayfair, London, London, ENG, GB, W1K 2	2482490000000.0	52.3705447	4.8886439	Hotel Esther a
26	19 Avonmore Road, Kensington, London, London, ENG, GB, W14 8RP	2525440000000.0	52.3681299	4.8440847	Ramada Apollo Amsterdam Centre
27	26 Bond Street, Ealing, London, London, ENG, GB, W5 5AA	2576980000000.0	52.3542655	4.8664365	Park Plaza Vondelpark Amsterdam
28	31 Oak Hill, Woodford Green, Woodford Green, Essex, ENG, GB, IG8 9NX	2757370000000.0	52.3657281	4.8972883	Royal Amsterdam Hotel
29	8 Kensington High Street, Kensington, London, London, ENG, GB, W8 5	2783140000000.0	52.364971	4.8839827	Dikker en Thijs Fenice Hotel
30	2 Warrington Crescent, Maida Vale, London, London, ENG, GB, W9 1	2989300000000.0	52.3735266	4.8933041	Swiss tel Amsterdam
31	Hanger Lane, Ealing, London, London, ENG, GB, W5 2	3049430000000.0	52.3613814	4.8832594	Park Hotel
32	Cooper's Row, City of London, London, London, ENG, GB, EC3N 2	3066610000000.0	52.3728353	4.883326	Pulitzer Amsterdam
33	370 Green Lanes, Finsbury Park, London, London, ENG, GB, N4 1	3315710000000.0	52.3591467	4.9263601	Hampshire Hotel The Manor Amsterdam
34	Westminster, London, London, ENG, GB, SW1P 4DD	3367250000000.0	52.3718665	4.8873794	The Hoxton Amsterdam
35	4 Curzon Square, Mayfair, London, London, ENG, GB, W1J 7FW	1726580000000.0	52.3714428	4.9346331	Hampton by Hilton Amsterdam Centre East
36	Via Emilio Cornalia, Porta Garibaldi-Porta Nuova, Milano, Milano, 25, IT, 20124	2001450000000.0	52.3594783	4.895853	Amsterdam Canal Residence
37	6 Via Tiziano, Pagano, Milano, Milano, 25, IT, 20145	2113120000000.0	52.3497431	4.8911908	Savoy Hotel Amsterdam
38	4 Viale Bianca Maria, Guastalla, Milano, Milano, 25, IT, 20129	2121710000000.0	52.36513	4.8729422	Grand Hotel Downtown
39	1 Via Tommaso Grossi, Duomo, Milano, Milano, 25, IT, 20121	2216200000000.0	52.335182	4.9138688	Mercure Hotel Amsterdam City South
40	6 Via Gesù, Duomo, Milano, Milano, 25, IT, 20121	2310690000000.0	52.3657092	4.8966912	NH Amsterdam Schiller
41	4A Piazzale Lugano, Bovisa, Milano, Milano, 25, IT, 20158	2422360000000.0	52.3741426	4.8907741	Hotel Die Port van Cleve
